Descripcion;IdArticu;StockActual;FechaUltimaEntrada;FechaCaducidad;Puc;Pmc;Pvp;ProveedorHabitual;Laboratorio
PARICALCITOL CINFA EFG 1 MICROGRAMO 28 CAPSULAS;702581;0;NULL;NULL;56.08;56.08;80.11; ;E0111
CINFAMUCOL CARBOCISTEINA 750 MG 12 SOBRES SOLUCI;702593;0;2023-09-25 00:00:00.000;NULL;5.88335;5.88;8.8; ;E0111
JARDIANCE 25 MG 30 COMPRIMIDOS RECUBIERTOS;702683;2;2023-11-20 00:00:00.000;2026-05-31 00:00:00.000;36.0943;36.09;53.39; ;E1008
JARDIANCE 10 MG 30 COMPRIMIDOS RECUBIERTOS;702686;2;2023-11-17 00:00:00.000;2025-10-31 00:00:00.000;34.82985;34.83;51.52;0084;E1008
BEMFOLA 150 UI 1 PLUMA PRECARGADA 0.25 ML;702710;0;2023-11-01 00:00:00.000;NULL;42.5524;42.55;62.94; ;E1222
BEMFOLA 225 UI 1 PLUMA PRECARGADA 0.375 ML;702714;0;2023-04-10 00:00:00.000;NULL;63.8336;63.83;94.41; ;E1222
BEMFOLA 300 UI 1 PLUMA PRECARGADA 0.5 ML;702716;0;2023-03-10 00:00:00.000;NULL;85.1115;85.11;125.89; ;E1222
BEMFOLA 450 UI 1 PLUMA PRECARGADA SOLUCION INYEC;702735;0;2022-06-27 00:00:00.000;NULL;127.66765;127.67;173.54;0084;E1222
BEMFOLA 75 UI 1 PLUMA PRECARGADA 0.125 ML;702736;0;2023-03-29 00:00:00.000;NULL;21.2762;21.28;31.47; ;E1222
BUCOMAX 24 PASTILLAS PARA CHUPAR MENTA;702741;0;NULL;NULL;5.18;5.18;7.4; ;E0111
BUCOMAX 24 PASTILLAS PARA CHUPAR MIEL Y LIMON;702771;7;2023-08-25 00:00:00.000;2024-09-01 00:00:00.000;4.9533;3.58;7.95; ;E0111
ALGIDRIN PEDIATRICO 20 MG/ML SUSPENSION ORAL 200;702772;0;2019-12-15 00:00:00.000;NULL;1.6929;1.69;2.5; ;E0189
DOLORAC PEDIATRICO 20 MG/ML SUSPENSION ORAL 200;702784;0;2019-10-30 00:00:00.000;NULL;1.6511;1.65;2.5; ;E0189
PARACETAMOL STADAGEN EFG 1 G 20 COMPRIMIDOS EFER;702828;0;2015-01-09 00:00:00.000;NULL;1.5048;1.5;2.5; ;E0805
PARACETAMOL STADAGEN EFG 1 G 40 COMPRIMIDOS EFER;702831;0;2015-01-09 00:00:00.000;NULL;1.5048;1.5;2.5; ;E0805
NICORETTE 2 MG 30 CHICLES;702845;8;2023-11-15 00:00:00.000;2025-04-01 00:00:00.000;7.508325;7.51;14.95; ;E0669
ETINILESTRADIOL/DROSPIRENONA CINFA EFG 0.02/3 MG;702848;2;2023-01-12 00:00:00.000;2024-06-01 00:00:00.000;2.09;2.39;6.24; ;E0111
ETINILESTRADIOL/DROSPIRENONA CINFA EFG 0.02/3 MG;702849;2;2023-07-20 00:00:00.000;2025-03-31 00:00:00.000;11.1502;11.18;16.66; ;E0111
ETINILESTRADIOL/DROSPIRENONA DIARIO CINFA EFG 0.;702850;0;2022-10-19 00:00:00.000;NULL;4.2218;4.22;6.24; ;E0111
ETINI/DROSP CINFA0,02/3MG3X28C;702851;3;2023-10-16 00:00:00.000;2025-03-30 00:00:00.000;11.2651;11.23;16.66; ;E0111
AZITROMICINA STADA EFG 200 MG/5 ML SUSP 15 ML;702894;0;2022-05-12 00:00:00.000;NULL;2.01685;1.88;3.01; ;E0805
AZITROMICINA STADA 200/30ML EFG;702902;0;2022-06-09 00:00:00.000;NULL;4.3681;4.37;6.03; ;E0805
ALDACTACINE 25/15 MG 40 COMPRIMIDOS;702944;0;2023-10-24 00:00:00.000;NULL;3.08275;3.08;4.56; ;E0456
ALDACTONE 25 MG 20 COMPRIMIDOS;702951;1;2023-11-09 00:00:00.000;2028-04-30 00:00:00.000;1.5466;1.55;2.29; ;E0456
ALDACTONE 25 MG 50 COMPRIMIDOS;702969;3;2023-11-14 00:00:00.000;2027-06-30 00:00:00.000;1.6929;1.69;2.5;0001;E0456
HEMANGIOL 3.75 MG/ML SOLUCION ORAL 120 ML;702983;0;2023-08-05 00:00:00.000;1899-12-30 00:00:00.000;180.48195;180.48;225.59;0084;E0147
DOVIDA 30 MG 30 CAPSULAS BLANDAS;703003;2;2023-10-01 00:00:00.000;2026-02-28 00:00:00.000;9.1124;4.56;13.47; ;E0624
BISOPROLOL CINFA EFG 5 MG 28 COMPRIMIDOS (PVC/PV;703004;8;2023-10-13 00:00:00.000;2025-08-31 00:00:00.000;0.836;1.05;2.5; ;E0111
BISOPROLOL CINFA EFG 5 MG 30 COMPRIMIDOS (PVC/PV;703005;0;2019-07-09 00:00:00.000;NULL;0.78375;0.78;2.36; ;E0111
BISOPROLOL CINFA EFG 5 MG 60 COMPRIMIDOS (PVC/PV;703006;58;2023-07-20 00:00:00.000;2025-09-01 00:00:00.000;1.0973;1.09;3.28; ;E0111
BISOPROLOL CINFA EFG 2.5 MG 28 COMPRIMIDOS (PVC/;703011;15;2023-10-13 00:00:00.000;2024-04-30 00:00:00.000;0.8046;0.84;2.4; ;E0111
BISOPROLOL CINFA EFG 10 MG 30 COMPRIMIDOS (PVC/P;703014;0;2021-02-26 00:00:00.000;NULL;2.2154;1.1;3.28; ;E0111
ALDODERMA POMADA 30 G;703058;0;2017-04-21 00:00:00.000;NULL;3.9292;3.93;13.5; ;E0011
ALDOLEO 50/50 MG 20 COMPRIMIDOS;703074;2;2023-11-16 00:00:00.000;2026-08-31 00:00:00.000;2.76925;2.77;4.09; ;E7017
VOLUTSA 6 MG/0,4 MG 30 COMPRIMIDOS LIBERACION MO;703094;0;2020-12-03 00:00:00.000;NULL;38.3515;38.35;30.07; ;E0513
MINOXIDIL BIORGA 20 MG/ML 60ML;703095;0;NULL;NULL;7.04;7.04;11.44; ;E7444
MINOXIDIL BIORGA 50 MG/ML SOLUCION CUTANEA 1 FRA;703097;0;2020-10-24 00:00:00.000;NULL;6.76115;6.76;11.51; ;E7444
LEVETIRACETAM KRKA EFG 750 MG 60 COMPRIMIDOS REC;703137;0;NULL;NULL;57.27;57.27;81.8; ;E1229
SEVELAMERO STADA 800 MG 180 COMPRIMIDOS RECUBIER;703141;0;2023-06-28 00:00:00.000;1899-12-30 00:00:00.000;98.439;102;145.71;0084;E0805
ZANIPRESS 20/20 MG 28 COMPRIMIDOS RECUBIERTOS;703152;8;2023-11-08 00:00:00.000;2025-06-30 00:00:00.000;7.59715;7.6;11.24; ;E0777
VOKANAMET 50/850 MG 60 COMPRIMIDOS RECUBIERTOS;703170;0;2023-11-14 00:00:00.000;NULL;38.3724;41.16;56.76; ;E0387
VOKANAMET 150/1000 MG 60 COMPRIMIDOS RECUBIERTOS;703171;0;2023-08-02 00:00:00.000;NULL;60.7981;60.8;83.83; ;E0387
VOKANAMET 150 MG/850 MG 60 COMPRIMIDOS RECUBIERT;703172;0;2023-11-04 00:00:00.000;NULL;56.6808;58.68;83.83; ;E0387
LAMICTAL 2 MG 30 COMPRIMIDOS MASTICABLES / DISPE;703173;0;2022-04-11 00:00:00.000;NULL;1.6929;1.75;2.5; ;E0654
VOKANAMET 50/1000 MG 60 COMPRIMIDOS RECUBIERTOS;703175;0;2023-10-03 00:00:00.000;NULL;38.3724;38.37;56.76; ;E0387
ORACEA 40 MG 28 CAPSULAS LIBERACION MODIFICADA;703176;1;2023-10-17 00:00:00.000;2024-08-31 00:00:00.000;17.42015;17.42;25.76; ;E0719
COLCHICINA SEID 0.5 MG 20 COMPRIMIDOS;703194;4;2023-11-20 00:00:00.000;2026-07-31 00:00:00.000;1.8183;1.82;2.69; ;E0534
METHERGIN 0.125 MG 30 COMPRIMIDOS RECUBIERTOS;703196;0;2016-09-09 00:00:00.000;NULL;2.82;2.95;4.18; ;E0523
ALERGICAL CREMA CREMA 30 G;703215;1;2023-09-16 00:00:00.000;2025-04-30 00:00:00.000;7.315;7.32;10.82; ;E0186
ALERGICAL EXPECTORANTE JARABE 150 ML;703223;0;2014-12-30 00:00:00.000;NULL;5.9857;5.99;7.73; ;E0178
ELIQUIS 5 MG 28 COMPRIMIDOS RECUBIERTOS;703230;0;2021-06-25 00:00:00.000;NULL;28.66435;28.66;42.4; ;E0547
ALERGICAL JARABE 150 ML;703249;0;2014-12-31 00:00:00.000;NULL;3.96;3.96;5.9; ;E0178
MINOXIDIL VIÑAS 50 MG/ML SOLUCION CUTANEA 2 FRAS;703266;2;2023-11-20 00:00:00.000;2025-05-01 00:00:00.000;15.884;15.88;23.49; ;E0599
ORLILOSS 60 MG 42 CAPSULAS (BLISTER);703270;1;2023-09-20 00:00:00.000;2024-06-01 00:00:00.000;26.8983;26.9;40.2; ;E0644
ORLILOSS 60 MG 84 CAPSULAS (BLISTER);703271;0;2023-05-29 00:00:00.000;NULL;37.9126;37.91;56.65; ;E0644
ZINOSAL EFG 12.5 MG 30 COMPRIMIDOS RECUBIERTOS (;703369;0;NULL;NULL;5.24;5.24;7.49; ;E1263
ZINOSAL EFG 12.5 MG 30 COMPRIMIDOS RECUBIERTOS (;703370;0;NULL;NULL;5.24;5.24;7.49; ;E1263
CINFATOS EXPECTORANTE 10/100 MG 18 SOBRES SOLUCI;703377;11;2023-10-13 00:00:00.000;2025-07-01 00:00:00.000;2.9469;3.68;8.8; ;E0111
APO-GO PEN 10 MG/ML 5 PLUMAS 3 ML;703421;0;2017-06-16 00:00:00.000;NULL;101.7;104.87;147.66;0084;E0709
DAIVOBET 500/50 MCG/G GEL TOPICO 60 G (CARTUCHO;703431;0;2020-01-23 00:00:00.000;NULL;30.1378;30.14;44.69; ;E0734
BEMFOLA 75 UI 10 PLUMAS PRECARGADAS 0.125 ML;703476;0;2018-10-08 00:00:00.000;NULL;214.89;214.89;262.61;0084;E1222
BEMFOLA 150 UI 10 PLUMAS PRECARGADAS 0.25 ML;703477;0;2022-12-21 00:00:00.000;NULL;425.55535;425.56;472.27;0084;E1222
BEMFOLA 225 UI 10 PLUMAS PRECARGADAS 0.375 ML;703478;0;2023-11-09 00:00:00.000;NULL;638.33825;638.34;687.14;0084;E1222
BEMFOLA 300 UI 10 PLUMAS PRECARGADAS 0.5 ML;703479;0;2023-07-03 00:00:00.000;NULL;850.5673;850.57;896.8; ;E1222
SIMBRINZA 10/2 MG/ML COLIRIO SUSPENSION 5 ML;703483;2;2023-11-12 00:00:00.000;2025-01-31 00:00:00.000;12.21605;12.21;18.06; ;E0523
GAVISCON FORTE 12 SOBRES SUSPENSION ORAL 10 ML;703487;0;2023-02-10 00:00:00.000;NULL;5.1309;5.13;10.74; ;E0850
GAVISCON FORTE 24 SOBRES SUSPENSION ORAL 10 ML;703489;38;2023-11-02 00:00:00.000;2025-06-01 00:00:00.000;7.5658;7.57;15.07; ;E0850
GAVISCON FORTE 32 COMPRIMIDOS MASTICABLES;703493;0;2017-09-21 00:00:00.000;NULL;3.3544;3.35;9.14; ;E0850
GAVISCON FORTE 48 COMPRIMIDOS MASTICABLES;703494;8;2023-09-01 00:00:00.000;2024-05-01 00:00:00.000;7.5658;7.57;15.07; ;E0850
FUROSEMIDA UXA EFG 40 MG 30 COMPRIMIDOS;703549;0;NULL;NULL;0.74;0.74;1.06; ;E0889
AZITROMICINA KERN 200MG/15ML EFG;703561;0;2023-03-18 00:00:00.000;NULL;2.03775;2.04;3.01; ;E0863
IBIS DIFARMED 20 MG 20 COMPRIMIDOS;703563;0;NULL;NULL;8.96;8.96;6.99; ;E1236
METICEL EFG 200 MG 30 CAPSULAS;703564;1;2023-07-06 00:00:00.000;2025-04-30 00:00:00.000;15.05845;15.06;22.28; ;E0015
LIPOCOMB 20 MG/10 MG 30 CAPSULAS;703598;5;2023-11-08 00:00:00.000;2024-04-30 00:00:00.000;20.7746;20.77;30.72; ;E0349
LIPOCOMB 10 MG/10 MG 30 CAPSULAS;703615;3;2023-11-08 00:00:00.000;2026-03-31 00:00:00.000;17.94265;17.94;26.54; ;E0349
HIDROXIL B1 B6 B12 30 COMPRIMIDOS RECUBIERTOS;703676;68;2023-09-13 00:00:00.000;2024-12-01 00:00:00.000;7.156578;7.16;13.91; ;E0014
ALERCINA 10 MG 7 COMPRIMIDOS RECUBIERTOS;703744;11;2023-10-19 00:00:00.000;2025-03-09 00:00:00.000;3.344;3.31;4.95; ;E0111
ZINOSAL EFG 12.5 MG 90 COMPRIMIDOS RECUBIERTOS (;703795;1;2023-11-02 00:00:00.000;2026-05-31 00:00:00.000;15.1943;15.19;22.48; ;E1263
PARICALCITOL NORMON EFG 1 MICROGRAMO 28 CAPSULAS;703824;1;2023-11-18 00:00:00.000;2025-05-31 00:00:00.000;26.8147;26.81;80.11; ;E0426
DUOKOPT 20/5 MG/ML COLIRIO 1 FRASCO SOLUCION 10;703828;1;2023-11-15 00:00:00.000;2025-02-28 00:00:00.000;16.3856;16.39;24.23; ;E0788
BRONCHOSTOP TOS 20 PASTILLAS BLANDAS PARA CHUPAR;703862;0;2019-03-26 00:00:00.000;NULL;6.0819;6.08;8.99; ;E0637
OMEPRAZOL CINFA 40 MG 14 CAPS GASTRORRES (BLISTE;703867;3;2023-07-20 00:00:00.000;2024-12-19 00:00:00.000;1.672;1.67;2.5; ;E0111
OMEPRAZOL CINFA 40 MG 28 CAPS GASTRORRES (BLISTE;703869;23;2023-07-20 00:00:00.000;2025-02-14 00:00:00.000;2.7797;1.47;4.15; ;E0111
ALOFEDINA 40 GRAGEAS;703884;0;NULL;NULL;4.8;4.8;6.85; ;E1104
BYDUREON 2 MG 4 PLUMAS PRECARGADAS 0.65 ML;703897;0;2022-06-19 00:00:00.000;NULL;62.89;62.89;93.34; ;E0267
QUINUX 10 MG/0.4 ML 1 JERINGA PRECARGADA 0.4 ML;703905;0;2023-11-09 00:00:00.000;NULL;9.12285;9.12;13.49; ;E0089
QUINUX 10 MG/0.4 ML 4 JERINGAS PRECARGADAS 0.4 M;703906;0;2022-12-20 00:00:00.000;1899-12-30 00:00:00.000;36.4705;37.19;53.94; ;E0089
QUINUX 15 MG/0.6 ML 1 JERINGA PRECARGADA 0.6 ML;703907;0;2020-09-20 00:00:00.000;NULL;14.1702;14.17;20.23; ;E0089
QUINUX 15 MG/0.6 ML 4 JERINGAS PRECARGADAS 0.6 M;703908;1;2023-10-10 00:00:00.000;2024-10-31 00:00:00.000;54.6953;54.7;80.9; ;E0089
QUINUX 20 MG/0.8 ML 4 JERINGAS PRECARGADAS 0.8 M;703910;0;2022-11-24 00:00:00.000;NULL;71.98;71.98;106.47; ;E0089
QUINUX 7.5 MG/0.3 ML 1 JERINGA PRECARGADA 0.3 ML;703911;0;2021-01-07 00:00:00.000;NULL;8.8841;8.88;10.88; ;E0089
QUINUX 7.5 MG/0.3 ML 4 JERINGAS PRECARGADAS 0.3;703912;0;2022-06-18 00:00:00.000;1899-12-30 00:00:00.000;29.4272;35.54;43.52; ;E0089
ONDANSETRON RATIO EFG 8 MG 6 COMPRIMIDOS RECUBIE;703917;0;2019-02-05 00:00:00.000;NULL;18.0158;18.66;26.65; ;E1079
ONDANSETRON RATIO EFG 8 MG 15 COMPRIMIDOS RECUBI;703920;2;2023-10-16 00:00:00.000;2024-06-30 00:00:00.000;45.04995;45.05;66.63; ;E1079
SILDENAFILO COMBIX EFG 50 MG 4 COMPRIMIDOS RECUB;703941;0;2018-11-13 00:00:00.000;NULL;10.5545;10.55;13.97; ;E1128
SILDENAFILO COMBIX  50/8CO EFG;703943;0;2017-11-15 00:00:00.000;NULL;21.109;21.11;26.77; ;E1128
SILDENAFILO COMBIX EFG 50 MG 12 COMPRIMIDOS RECU;703944;0;2023-09-20 00:00:00.000;NULL;24.3276;24.33;35.98; ;E1128
SILDENAFILO COMBIX EFG 100 MG 4 COMPRIMIDOS RECU;703948;0;2017-05-20 00:00:00.000;NULL;11.6099;11.61;15.69; ;E1128
LISVY 0.06/0.013 MG/24 H 3 PARCHES TRANSDERMICOS;703951;0;2016-10-10 00:00:00.000;NULL;12.7908;12.79;18.73; ;E1222
LISVY 0.06/0.013 MG/24 H 9 PARCHES TRANSDERMICOS;703952;0;2016-09-27 00:00:00.000;NULL;34.1966;34.2;50.58; ;E1222
TRAMADOL/PARACETAMOL TEVA EFG 37,5 MG/325 MG 60;703977;0;2022-07-18 00:00:00.000;NULL;6.00875;6.01;8.88; ;E1079
REGAXIDIL 20 MG/ML SOLUCION CUTANEA 4 FRASCOS 60;703987;2;2023-07-14 00:00:00.000;2025-03-01 00:00:00.000;13.5369;13.42;23.8; ;E0276
REGAXIDIL 50 MG/ML SOLUCION CUTANEA 4 FRASCOS 60;703988;22;2023-09-02 00:00:00.000;NULL;13.3187;13.72;25.52; ;E0276
BRONCHOSTOP ANTITUSIVO Y EXPECTORANTE SOLUCION O;704070;5;2023-09-01 00:00:00.000;2026-02-01 00:00:00.000;7.22095;7.36;13.49; ;E0637
ORVATEZ 10/20 MG 30 COMPRIMIDOS RECUBIERTOS;704107;1;2023-07-03 00:00:00.000;2024-08-31 00:00:00.000;26.34445;26.34;38.96; ;E0513
ORVATEZ 10/40 MG 30 COMPRIMIDOS RECUBIERTOS;704113;1;2023-08-29 00:00:00.000;2024-06-30 00:00:00.000;31.0156;31.02;45.88; ;E0513
ORVATEZ 10/80 MG 30 COMPRIMIDOS RECUBIERTOS;704120;1;2023-11-08 00:00:00.000;2025-02-28 00:00:00.000;39.9608;39.96;59.7; ;E0513
MAXALT 10 MG 6 COMPRIMIDOS;704171;2;2023-11-08 00:00:00.000;2025-05-31 00:00:00.000;17.8486;17.85;26.4; ;E0884
BISOLVON MUCO 600 MG 10 COMPRIMIDOS EFERVESCENTE;704186;0;2022-01-11 00:00:00.000;NULL;4.42035;4.42;6.54; ;E1368
DESOGESTREL/ETINILESTRADIOL CINFA EFG 0.15/0.02;704195;0;2022-01-13 00:00:00.000;NULL;2.1318;2.13;2.93; ;E0111
DESOGESTREL/ETINILESTRADIOL CINFA EFG 0.15/0.02;704196;2;2023-07-20 00:00:00.000;2024-10-11 00:00:00.000;5.8833;5.89;8.79; ;E0111
GABAPENTINA IPCA EFG 100 MG 90 CAPSULAS;704214;0;NULL;NULL;2.16;2.16;3.08; ;E7251
VITAMINA D3 KERN PHARMA 2000 UI/ML SOLUCION ORAL;704217;5;2023-08-30 00:00:00.000;2024-04-30 00:00:00.000;6.27;6.27;9.37; ;E0863
HUMALOG 200 U/ML 5 PLUMAS PRECARGADAS 3 ML;704228;2;2023-11-11 00:00:00.000;2025-09-30 00:00:00.000;63.5151;63.52;93.95; ;E0346
AZITROMICINA KERN PHARMA EFG 200 MG/5 ML POLVO P;704247;0;2023-05-25 00:00:00.000;NULL;4.0755;4.08;6.03; ;E0863
TRAMADOL/PARACETAMOL CINFA EFG 37.5/325 MG 20 CO;704250;1;2023-01-27 00:00:00.000;NULL;1.2383;1.49;2.97; ;E0111
TRAMADOL/PARACETAMOL STADA EFG 37.5/325 MG 20 CO;704253;0;2021-11-08 00:00:00.000;NULL;2.01;2.08;2.97; ;E0805
PAROXETINA STADAGEN EFG 10 MG 30 COMPRIMIDOS;704287;0;2018-11-05 00:00:00.000;NULL;2.3617;2.36;3.26; ;E0805
ATOZET 10/20 MG 30 COMPRIMIDOS RECUBIERTOS;704293;5;2023-11-08 00:00:00.000;2024-06-30 00:00:00.000;26.34445;26.34;38.96; ;E0884
ATOZET 10/40 MG 30 COMPRIMIDOS RECUBIERTOS;704308;2;2023-11-18 00:00:00.000;2025-04-30 00:00:00.000;31.0156;31.02;45.88; ;E0884
ATOZET 10/80 MG 30 COMPRIMIDOS RECUBIERTOS;704315;1;2023-11-08 00:00:00.000;2024-11-30 00:00:00.000;40.3579;40.36;59.7; ;E0884
NOVOTER GENTAMICINA CREMA 60 G;704338;0;2023-10-23 00:00:00.000;NULL;9.2587;9.26;13.69; ;E7017
NEVANAC 3 MG/ML COLIRIO 1 FRASCO SUSPENSION 3 ML;704372;1;2023-11-11 00:00:00.000;2024-07-31 00:00:00.000;23.94095;23.94;35.41; ;E0523
VELPHORO 500 MG 90 COMPRIMIDOS MASTICABLES;704373;-1;2023-08-18 00:00:00.000;NULL;131.3565;132.67;178.47;0084;E1278
PRIMPERAN 1 MG/ML SOLUCION ORAL 200 ML;704398;0;2023-01-05 00:00:00.000;NULL;1.4525;1.38;2; ;E0345
ENALAPRIL SANDOZ EFG 5 MG 60 COMPRIMIDOS;704478;0;2023-08-24 00:00:00.000;NULL;1.3376;1.34;1.98; ;E0644
PREGABALINA CINFA EFG 150 MG 56 CAPSULAS;704496;0;2020-05-11 00:00:00.000;NULL;19.18;19.18;29.41; ;E0111
PREGABALINA CINFA EFG 25 MG 56 CAPSULAS;704497;2;2023-01-27 00:00:00.000;2024-04-28 00:00:00.000;4.645;4.65;4.9; ;E0111
PREGABALINA CINFA EFG 75 MG 56 CAPSULAS;704500;0;2016-01-11 00:00:00.000;NULL;23.8442;23.84;14.71; ;E0111
PREGABALINA STADA GENERICOS EFG 25 MG 56 CAPSULA;704513;0;2015-05-06 00:00:00.000;NULL;9.2901;9.29;4.9; ;E1043
PREGABALINA STADA GENERICOS EFG 75 MG 56 CAPSULA;704514;0;2015-10-29 00:00:00.000;NULL;23.3766;23.38;14.71; ;E1043
PREGABALINA STADA GENERICOS EFG 150 MG 56 CAPSUL;704515;0;2015-07-08 00:00:00.000;NULL;35.5927;35.59;29.41; ;E1043
MAXALT MAX 10 MG 2 LIOFILIZADOS ORALES;704536;1;2023-10-19 00:00:00.000;2025-12-31 00:00:00.000;5.9565;5.96;8.8; ;E0884
MAXALT MAX 10 MG 6 LIOFILIZADOS ORALES;704544;28;2023-09-05 00:00:00.000;2025-04-30 00:00:00.000;17.8486;4.84;26.4;0084;E0884
SOMAZINA 1000 MG 30 SOBRES SOLUCION ORAL 10 ML;704557;4;2023-11-13 00:00:00.000;2024-10-31 00:00:00.000;32.82345;32.82;48.55; ;E0206
ARIPIPRAZOL CINFA EFG 5 MG 28 COMPRIMIDOS;704605;0;2015-07-06 00:00:00.000;NULL;53.87;53.87;23.95; ;E0111
ARIPIPRAZOL CINFA EFG 10 MG 28 COMPRIMIDOS;704606;0;2015-06-14 00:00:00.000;NULL;57.17;57.17;47.89; ;E0111
ARIPIPRAZOL CINFA EFG 15 MG 28 COMPRIMIDOS;704607;0;2017-04-29 00:00:00.000;NULL;57.1632;57.16;71.84; ;E0111
SOLARAZE 30 MG/G GEL TOPICO 90 G;704608;2;2023-11-08 00:00:00.000;2025-06-12 00:00:00.000;47.7147;47.71;70.58; ;E0014
TRILEPTAL 60 MG/ML SUSPENSION ORAL 250 ML;704627;3;2023-02-27 00:00:00.000;2024-10-31 00:00:00.000;7.445625;7.45;11.04; ;E0523
TRULICITY 1.5 MG 4 PLUMAS PRECARGADAS 0.5 ML;704632;3;2023-11-20 00:00:00.000;2025-04-30 00:00:00.000;86.64095;86.64;128.15; ;E0346
TRULICITY 0.75 MG 4 PLUMAS PRECARGADAS 0.5 ML;704633;2;2023-10-10 00:00:00.000;2024-11-30 00:00:00.000;86.64095;86.64;128.15; ;E0346
FLECAINIDA NORMON EFG 100 MG 30 COMPRIMIDOS (AL/;704661;3;2023-05-11 00:00:00.000;2025-03-01 00:00:00.000;5.2041;5.2;7.98; ;E0426
FLECAINIDA NORMON EFG 100 MG 60 COMPRIMIDOS (AL/;704662;1;2023-11-15 00:00:00.000;2025-03-31 00:00:00.000;5.33995;5.34;15.95; ;E0426
FLECAINIDA APOTEX EFG 100 MG 30 COMPRIMIDOS (AL/;704689;0;NULL;NULL;5.59;5.59;7.98; ;E1150
FLECAINIDA APOTEX EFG 100 MG 30 COMPRIMIDOS (AL/;704691;0;2020-04-26 00:00:00.000;NULL;5.209325;5.21;7.98; ;E1150
FLECAINIDA APOTEX EFG 100 MG 60 COMPRIMIDOS (AL/;704693;0;2018-11-05 00:00:00.000;NULL;8.6735;8.67;15.95; ;E1150
NOVORAPID PENFILL 100 U/ML 5 CARTUCHOS 3 ML;704723;1;2023-11-17 00:00:00.000;2025-08-31 00:00:00.000;29.2182;29.22;43.21; ;E0078
PREGABALINA KERN PHARMA EFG 100 MG 84 CAPSULAS;704730;1;2023-09-23 00:00:00.000;2027-05-31 00:00:00.000;19.88635;19.89;29.41; ;E0863
PREGABALINA KERN PHARMA EFG 200 MG 84 CAPSULAS;704733;0;2020-04-28 00:00:00.000;NULL;39.38;39.47;58.82; ;E0863
PREGABALINA KERN PHARMA EFG 50 MG 56 CAPSULAS;704739;0;2018-03-24 00:00:00.000;NULL;6.3954;14.96;9.8; ;E0863
ARIPIPRAZOL FLAS CINFA EFG 10 MG 28 COMPRIMIDOS;704753;0;2017-04-30 00:00:00.000;NULL;38.11;38.11;47.89; ;E0111
ARIPIPRAZOL FLAS CINFA EFG 15 MG 28 COMPRIMIDOS;704754;0;2016-01-19 00:00:00.000;NULL;57.1737;55.13;71.84; ;E0111
OTILONIO CINFA EFG 40 MG 60 COMPRIMIDOS RECUBIER;704770;0;2016-02-02 00:00:00.000;NULL;5.16;5.16;11.02; ;E0111
AMERIDE 5/50 MG 20 COMPRIMIDOS;704775;0;2023-10-21 00:00:00.000;NULL;1.6929;1.69;2.5; ;E0513
AMERIDE 5/50 MG 60 COMPRIMIDOS;704783;2;2023-11-05 00:00:00.000;2025-09-30 00:00:00.000;2.6961;2.7;3.98; ;E0513
"DUAC ""10/50"" MG/G GEL TOPICO 30 G";704827;1;2023-11-16 00:00:00.000;2024-08-31 00:00:00.000;20.2103;20.21;29.9; ;E0654
"DUAC ""10/50"" MG/G GEL TOPICO 60 G";704828;1;2023-09-01 00:00:00.000;2024-04-30 00:00:00.000;26.3651;26.37;39; ;E0654
PREGABALINA RATIOPHARM EFG 25 MG 56 CAPSULAS;704856;1;2023-11-18 00:00:00.000;2024-09-30 00:00:00.000;3.31265;3.31;4.9; ;E1079
INNOHEP 8000 UI ANTI-XA/0.4 ML 30 JERINGAS PREC;704864;0;2022-12-14 00:00:00.000;NULL;186.0936;186.09;231.12;0084;E0734
ESOMEPRAZOL STADA EFG 20 MG 28 COMPRIMIDOS GASTR;704867;0;2021-11-26 00:00:00.000;1899-12-30 00:00:00.000;8.4854;8.79;12.55; ;E0805
INNOHEP 12000 UI ANTI-XA/0.6 ML 30 JERINGAS PREC;704879;0;2021-10-28 00:00:00.000;1899-12-30 00:00:00.000;213.2009;184.12;281.93;0084;E0734
INNOHEP 16000 UI ANTI-XA/0.8 ML 30 JERINGAS PREC;704883;0;2022-03-22 00:00:00.000;1899-12-30 00:00:00.000;279.69425;279.69;346.47;0084;E0734
CLOBISDIN 0.5 MG/ML SOLUCION TOPICA 100 ML;704888;2;2023-11-03 00:00:00.000;2025-02-23 00:00:00.000;5.88335;5.88;8.7; ;E0666
DEXKETOPROFENO KERN PHARMA EFG 25 MG 20 SOBRES S;704901;0;2018-12-04 00:00:00.000;NULL;2.7066;2.71;4; ;E0863
OMEPRAZOL TEVA-RIMAFAR EFG 20 MG 56 CAPSULAS GAS;704905;0;2018-07-17 00:00:00.000;NULL;2.70655;2.71;4.15; ;E1079
STREFEN SPRAY 8.75 MG/DOSIS SOL PULVERIZACION BU;704906;13;2023-04-28 00:00:00.000;2024-05-01 00:00:00.000;4.807;4.81;11.98; ;E0850
RIVASTIGMINA STADA EFG 13.3 MG/24 H 60 PARCHES T;704922;0;2016-07-28 00:00:00.000;NULL;156.74;122.95;175.59;0084;E0805
LEVETIRACETAM ARISTO EFG 750 MG 60 COMPRIMIDOS R;704931;1;2022-09-07 00:00:00.000;2024-06-30 00:00:00.000;59.26195;59.26;81.8; ;E1240
LEVETIRACETAM ARISTO EFG 500 MG 100 COMPRIMIDOS;704934;0;NULL;NULL;63.63;63.63;90.89; ;E1240
